Emp_ID,Department,Salary,Experience,City
1,IT,41819,8,Satara
2,Sales,69360,4,Satara
3,HR,28665,2,Pune
4,IT,77849,1,Nashik
5,Sales,40446,8,Mumbai
6,Sales,84795,1,Mumbai
7,Sales,43755,7,Satara
8,Sales,76296,8,Satara
9,HR,94688,2,Mumbai
10,Sales,69038,7,Pune
11,HR,96194,9,Mumbai
12,Finance,20946,3,Pune
13,IT,88907,3,Nashik
14,Sales,58519,6,Nashik
15,Finance,50758,6,Nashik
16,IT,60746,4,Nashik
17,IT,41653,9,Satara
18,IT,60859,2,Satara
19,Finance,83541,7,Pune
20,HR,24489,5,Pune
21,Finance,41444,3,Pune
22,Sales,64746,6,Pune
23,Sales,50615,8,Satara
24,Finance,47616,7,Satara
25,IT,97205,2,Nashik
26,HR,32380,9,Nashik
27,HR,55863,2,Mumbai
28,HR,52133,9,Satara
29,HR,79394,1,Pune
30,IT,80672,1,Pune
31,HR,61109,4,Satara
32,IT,21488,8,Mumbai
33,Sales,76869,9,Mumbai
34,IT,72826,6,Mumbai
35,Sales,29292,7,Nashik
36,HR,33011,5,Nashik
37,Finance,49456,7,Nashik
38,Sales,31256,8,Satara
39,Sales,36715,2,Nashik
40,IT,97795,5,Mumbai
41,Finance,68649,5,Mumbai
42,Sales,57241,2,Nashik
43,IT,74294,4,Nashik
44,HR,99172,1,Pune
45,Sales,31630,2,Pune
46,HR,25199,6,Satara
47,Sales,45455,4,Nashik
48,Sales,43601,9,Satara
49,Finance,81809,1,Pune
50,Sales,77959,6,Mumbai
51,IT,30786,8,Satara
52,HR,34247,3,Mumbai
53,HR,37708,5,Satara
54,HR,45194,9,Nashik
55,Sales,75553,2,Nashik
56,IT,74528,3,Mumbai
57,Sales,55738,7,Satara
58,Finance,34187,7,Nashik
59,IT,24010,6,Nashik
60,Sales,86389,3,Mumbai
61,Sales,44431,5,Mumbai
62,Finance,62490,8,Pune
63,Sales,94684,7,Pune
64,Finance,56316,2,Pune
65,Sales,93278,3,Nashik
66,IT,97707,3,Satara
67,Finance,76315,6,Pune
68,IT,36999,3,Pune
69,IT,44201,8,Mumbai
70,IT,78392,8,Nashik
71,HR,73044,8,Nashik
72,HR,30709,3,Nashik
73,Finance,88765,5,Pune
74,IT,23969,1,Nashik
75,IT,62190,4,Satara
76,HR,63264,7,Mumbai
77,Sales,89025,2,Nashik
78,IT,37056,2,Pune
79,HR,86301,8,Nashik
80,Finance,85733,8,Nashik
81,Finance,95678,4,Nashik
82,Sales,76822,4,Satara
83,IT,47753,9,Pune
84,HR,32975,9,Nashik
85,HR,46098,9,Mumbai
86,Sales,40853,3,Mumbai
87,HR,92583,6,Satara
88,HR,75294,2,Pune
89,Sales,68469,5,Pune
90,Finance,45630,7,Satara
91,Sales,43560,2,Nashik
92,Sales,40077,9,Pune
93,Finance,72693,2,Pune
94,Finance,97049,4,Pune
95,Sales,49421,9,Mumbai
96,IT,50784,4,Satara
97,Finance,22651,5,Mumbai
98,Sales,67154,9,Satara
99,HR,72400,5,Nashik
100,IT,44025,5,Pune
101,HR,57447,8,Nashik
102,Finance,78847,9,Nashik
103,IT,72622,2,Pune
104,Sales,51609,6,Mumbai
105,IT,58014,6,Satara
106,Finance,26280,7,Satara
107,IT,92983,3,Pune
108,Sales,89453,2,Pune
109,Sales,44616,7,Satara
110,IT,96929,9,Mumbai
111,Sales,78142,5,Pune
112,IT,50567,2,Nashik
113,IT,75111,8,Satara
114,IT,80885,1,Mumbai
115,IT,32248,2,Satara
116,Finance,78661,6,Satara
117,Sales,35147,6,Mumbai
118,IT,92123,8,Mumbai
119,Sales,31940,9,Nashik
120,Finance,76137,4,Satara
121,Sales,22960,5,Satara
122,Sales,80835,9,Satara
123,HR,98211,2,Pune
124,HR,58439,9,Mumbai
125,HR,36805,1,Nashik
126,IT,42010,3,Pune
127,HR,97224,9,Mumbai
128,HR,34906,6,Nashik
129,HR,72707,1,Satara
130,Sales,85153,7,Nashik
131,IT,40995,8,Nashik
132,Sales,34176,8,Mumbai
133,HR,46535,5,Mumbai
134,Finance,59730,2,Nashik
135,IT,33366,8,Mumbai
136,HR,60559,3,Satara
137,Finance,62839,9,Mumbai
138,IT,45287,9,Pune
139,Finance,39777,6,Pune
140,IT,36866,4,Mumbai
141,HR,66861,3,Pune
142,Sales,44504,4,Pune
143,Finance,98878,1,Nashik
144,Finance,27509,8,Pune
145,HR,22979,9,Mumbai
146,IT,78246,9,Satara
147,Sales,95800,7,Satara
148,HR,74306,4,Pune
149,HR,84503,8,Pune
150,Sales,33928,2,Nashik
151,IT,20358,5,Mumbai
152,Finance,70909,5,Nashik
153,Finance,62501,3,Satara
154,Sales,82704,4,Satara
155,Finance,88505,8,Pune
156,Sales,42254,6,Nashik
157,Sales,26182,7,Satara
158,Sales,84827,4,Mumbai
159,Finance,87790,2,Pune
160,HR,72297,1,Mumbai
161,Finance,48143,7,Satara
162,Finance,58834,1,Satara
163,Sales,69180,4,Nashik
164,Finance,70575,3,Satara
165,Sales,20647,4,Pune
166,Sales,25791,3,Nashik
167,Finance,27339,4,Nashik
168,Finance,50159,9,Mumbai
169,Sales,88380,9,Satara
170,IT,98206,2,Satara
171,HR,28374,1,Nashik
172,Finance,26262,8,Mumbai
173,Sales,48758,7,Nashik
174,Finance,51289,6,Mumbai
175,HR,75794,3,Pune
176,Finance,33436,8,Pune
177,HR,22624,1,Satara
178,IT,87652,9,Satara
179,Finance,42496,8,Pune
180,Finance,41712,9,Mumbai
181,Sales,48154,6,Pune
182,IT,51434,9,Mumbai
183,Sales,89031,1,Satara
184,Finance,27334,8,Satara
185,Sales,41942,9,Satara
186,IT,60700,6,Nashik
187,IT,25117,9,Nashik
188,Finance,62231,5,Pune
189,IT,40608,2,Mumbai
190,Finance,84265,4,Satara
191,Sales,89036,1,Pune
192,Finance,33364,9,Nashik
193,Finance,66289,8,Satara
194,Sales,27524,6,Pune
195,IT,57551,8,Nashik
196,IT,96485,7,Mumbai
197,IT,80905,8,Pune
198,HR,60358,3,Pune
199,Finance,95812,6,Mumbai
200,IT,38171,4,Mumbai
201,HR,21009,2,Mumbai
202,Finance,27207,7,Nashik
203,Sales,57085,5,Pune
204,Finance,24781,2,Pune
205,Finance,29089,5,Satara
206,Sales,90380,7,Mumbai
207,HR,37583,6,Satara
208,IT,81804,2,Satara
209,IT,28618,1,Satara
210,IT,23836,3,Mumbai
211,Sales,80974,6,Nashik
212,Sales,29191,9,Pune
213,IT,54344,8,Mumbai
214,Finance,99696,9,Mumbai
215,Finance,48075,4,Mumbai
216,IT,63868,5,Nashik
217,IT,81888,7,Pune
218,Sales,42079,1,Satara
219,IT,70220,7,Pune
220,HR,51362,1,Pune
221,Finance,97334,8,Pune
222,IT,43932,5,Pune
223,IT,58808,7,Nashik
224,Sales,44403,6,Satara
225,HR,52478,9,Mumbai
226,Sales,58861,5,Nashik
227,IT,74663,2,Pune
228,Finance,98133,6,Nashik
229,HR,53269,2,Nashik
230,HR,47966,8,Satara
231,HR,89128,2,Pune
232,Sales,98794,2,Satara
233,IT,37193,8,Satara
234,IT,25026,9,Mumbai
235,IT,70350,5,Mumbai
236,HR,31517,1,Nashik
237,HR,45288,9,Satara
238,Finance,99477,9,Pune
239,HR,21335,1,Nashik
240,IT,36341,3,Satara
241,IT,59492,8,Mumbai
242,HR,71719,3,Nashik
243,Finance,53016,5,Mumbai
244,HR,89717,7,Satara
245,HR,45686,3,Satara
246,Sales,85555,5,Mumbai
247,HR,66406,2,Pune
248,IT,23579,9,Mumbai
249,IT,73605,2,Mumbai
250,IT,70518,6,Pune
251,Sales,89699,8,Pune
252,Sales,57789,7,Pune
253,HR,31157,5,Satara
254,Finance,45809,2,Satara
255,HR,89359,8,Satara
256,Sales,22523,3,Pune
257,HR,34593,2,Nashik
258,Sales,39105,7,Pune
259,IT,33675,8,Satara
260,IT,88345,7,Mumbai
261,Sales,68478,8,Mumbai
262,HR,96214,9,Nashik
263,Finance,46575,5,Satara
264,IT,81180,2,Satara
265,Finance,89939,9,Mumbai
266,Sales,71629,3,Mumbai
267,Sales,94984,1,Pune
268,Finance,77476,4,Satara
269,Sales,80088,3,Pune
270,HR,35792,3,Mumbai
271,HR,53258,7,Nashik
272,HR,86320,2,Pune
273,Sales,53845,6,Nashik
274,Finance,54773,4,Mumbai
275,IT,74676,8,Mumbai
276,IT,48653,1,Satara
277,HR,94680,9,Mumbai
278,IT,60747,1,Nashik
279,Sales,84852,7,Mumbai
